method,budget,seed,epochs,batch_size,lr,anchor_per_class,anchor_weight,entropy_weight,eval_pairs,device,use_amp,run_id,train_seconds,split,accuracy,macro_f1,nll,mean_confidence,n_examples,digit_accuracy,digit_macro_f1,digit_mean_confidence,digit_examples
direct_sum,1000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b1000_s11,5.718916813842952,iid_restricted,0.15375,0.0385440500291632,2.529137372970581,0.1344652622938156,4000,,,,
direct_sum,1000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b1000_s11,5.718916813842952,ood_high_high,0.006,0.0009716599190283401,4.5255842208862305,0.1347232311964035,4000,,,,
symbolic_sum,1000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b1000_s11,3.9132771594449878,iid_restricted,0.199,0.13277347445698662,2.3041088581085205,0.1835276037454605,4000,,,,
symbolic_sum,1000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b1000_s11,3.9132771594449878,ood_high_high,0.0,0.0,5.163513660430908,0.162122905254364,4000,,,,
symbolic_sum,1000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b1000_s11,3.9132771594449878,digit_test,0.3492,0.24184234823208475,,0.348741739988327,10000,0.3492,0.24184234823208475,0.348741739988327,10000.0
anchor_symbolic,1000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b1000_s11,9.986340972594917,iid_restricted,0.25775,0.19149676448807257,2.1777665615081787,0.20308248698711395,4000,,,,
anchor_symbolic,1000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b1000_s11,9.986340972594917,ood_high_high,0.0,0.0,3.9685754776000977,0.1526631861925125,4000,,,,
anchor_symbolic,1000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b1000_s11,9.986340972594917,digit_test,0.4084,0.30366762578200224,,0.3820113241672516,10000,0.4084,0.30366762578200224,0.3820113241672516,10000.0
anchor_posterior,1000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b1000_s11,10.089269326068461,iid_restricted,0.24675,0.1850122931233925,2.179313898086548,0.20685268938541412,4000,,,,
anchor_posterior,1000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b1000_s11,10.089269326068461,ood_high_high,0.0,0.0,3.9604074954986572,0.15549670159816742,4000,,,,
anchor_posterior,1000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b1000_s11,10.089269326068461,digit_test,0.3993,0.29411131184847294,,0.388200968503952,10000,0.3993,0.29411131184847294,0.388200968503952,10000.0
direct_sum,1000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b1000_s23,3.612683921121061,iid_restricted,0.152,0.035352678223309716,2.549609422683716,0.16928310692310333,4000,,,,
direct_sum,1000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b1000_s23,3.612683921121061,ood_high_high,0.0085,0.0016357163475416146,4.291869163513184,0.17205895483493805,4000,,,,
symbolic_sum,1000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b1000_s23,3.706289829686284,iid_restricted,0.1665,0.08539214935781048,2.3512802124023438,0.14721159636974335,4000,,,,
symbolic_sum,1000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b1000_s23,3.706289829686284,ood_high_high,0.0,0.0,4.442251682281494,0.13441605865955353,4000,,,,
symbolic_sum,1000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b1000_s23,3.706289829686284,digit_test,0.2717,0.18010800478195524,,0.25822603702545166,10000,0.2717,0.18010800478195524,0.25822603702545166,10000.0
anchor_symbolic,1000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b1000_s23,10.269415657036006,iid_restricted,0.17825,0.1259349666280932,2.2737860679626465,0.17423656582832336,4000,,,,
anchor_symbolic,1000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b1000_s23,10.269415657036006,ood_high_high,0.0,0.0,3.5227303504943848,0.12500040233135223,4000,,,,
anchor_symbolic,1000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b1000_s23,10.269415657036006,digit_test,0.325,0.2538188927597592,,0.34855642914772034,10000,0.325,0.2538188927597592,0.34855642914772034,10000.0
anchor_posterior,1000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b1000_s23,10.823015776462853,iid_restricted,0.16675,0.11978555311350383,2.2881665229797363,0.18694700300693512,4000,,,,
anchor_posterior,1000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b1000_s23,10.823015776462853,ood_high_high,0.0,0.0,3.613955497741699,0.13163098692893982,4000,,,,
anchor_posterior,1000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b1000_s23,10.823015776462853,digit_test,0.3188,0.24360968513092424,,0.36858069896698,10000,0.3188,0.24360968513092424,0.36858069896698,10000.0
direct_sum,1000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b1000_s37,3.705744495615363,iid_restricted,0.124,0.015182966477483116,2.6560356616973877,0.3317830264568329,4000,,,,
direct_sum,1000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b1000_s37,3.705744495615363,ood_high_high,0.02775,0.002871518930035829,5.691545009613037,0.35100218653678894,4000,,,,
symbolic_sum,1000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b1000_s37,3.8490340374410152,iid_restricted,0.153,0.12049913752038616,2.333195209503174,0.17432592809200287,4000,,,,
symbolic_sum,1000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b1000_s37,3.8490340374410152,ood_high_high,0.0,0.0,4.681562900543213,0.14748169481754303,4000,,,,
symbolic_sum,1000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b1000_s37,3.8490340374410152,digit_test,0.2611,0.1751477031161294,,0.3278873562812805,10000,0.2611,0.1751477031161294,0.3278873562812805,10000.0
anchor_symbolic,1000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b1000_s37,10.201146924868226,iid_restricted,0.161,0.1260037484618348,2.257632255554199,0.18427281081676483,4000,,,,
anchor_symbolic,1000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b1000_s37,10.201146924868226,ood_high_high,0.0,0.0,3.6842353343963623,0.129131019115448,4000,,,,
anchor_symbolic,1000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b1000_s37,10.201146924868226,digit_test,0.289,0.17880960531725532,,0.3725106120109558,10000,0.289,0.17880960531725532,0.3725106120109558,10000.0
anchor_posterior,1000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b1000_s37,10.50649244710803,iid_restricted,0.1545,0.12056377783204694,2.2698545455932617,0.18730446696281433,4000,,,,
anchor_posterior,1000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b1000_s37,10.50649244710803,ood_high_high,0.0,0.0,3.700144052505493,0.1307024210691452,4000,,,,
anchor_posterior,1000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b1000_s37,10.50649244710803,digit_test,0.2853,0.17454392294295076,,0.3771962523460388,10000,0.2853,0.17454392294295076,0.3771962523460388,10000.0
direct_sum,5000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b5000_s11,5.5079459911212325,iid_restricted,0.25425,0.1732285830239612,2.2597968578338623,0.3268303871154785,4000,,,,
direct_sum,5000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b5000_s11,5.5079459911212325,ood_high_high,0.0,0.0,7.889370918273926,0.34282684326171875,4000,,,,
symbolic_sum,5000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b5000_s11,5.965690141543746,iid_restricted,0.89825,0.6676968430702694,0.36219438910484314,0.8377919793128967,4000,,,,
symbolic_sum,5000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b5000_s11,5.965690141543746,ood_high_high,0.77875,0.3667499503612971,0.7270355820655823,0.7306806445121765,4000,,,,
symbolic_sum,5000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b5000_s11,5.965690141543746,digit_test,0.9286,0.9263443636550945,,0.8999306559562683,10000,0.9286,0.9263443636550945,0.8999306559562683,10000.0
anchor_symbolic,5000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b5000_s11,40.60634064115584,iid_restricted,0.86625,0.6397003560579583,0.4348607659339905,0.8381742238998413,4000,,,,
anchor_symbolic,5000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b5000_s11,40.60634064115584,ood_high_high,0.6915,0.3303041977541802,1.0301814079284668,0.7129736542701721,4000,,,,
anchor_symbolic,5000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b5000_s11,40.60634064115584,digit_test,0.906,0.9047588526135888,,0.8987891674041748,10000,0.906,0.9047588526135888,0.8987891674041748,10000.0
anchor_posterior,5000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b5000_s11,44.1952757043764,iid_restricted,0.86775,0.6421065089996082,0.446308970451355,0.8328720927238464,4000,,,,
anchor_posterior,5000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b5000_s11,44.1952757043764,ood_high_high,0.70325,0.3344879311201625,1.0177924633026123,0.7147432565689087,4000,,,,
anchor_posterior,5000,11,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b5000_s11,44.1952757043764,digit_test,0.9071,0.9055533959858307,,0.8970135450363159,10000,0.9071,0.9055533959858307,0.8970135450363159,10000.0
direct_sum,5000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b5000_s23,5.4124028123915195,iid_restricted,0.32825,0.2478271564782842,1.968532919883728,0.38099536299705505,4000,,,,
direct_sum,5000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b5000_s23,5.4124028123915195,ood_high_high,0.00025,0.00022114108801415302,9.043501853942871,0.4293687045574188,4000,,,,
symbolic_sum,5000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b5000_s23,5.774800281971693,iid_restricted,0.894,0.6624054762506905,0.3717518150806427,0.815926730632782,4000,,,,
symbolic_sum,5000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b5000_s23,5.774800281971693,ood_high_high,0.85675,0.409232359579372,0.5429990887641907,0.7430720329284668,4000,,,,
symbolic_sum,5000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b5000_s23,5.774800281971693,digit_test,0.9424,0.9415584526019044,,0.8953332304954529,10000,0.9424,0.9415584526019044,0.8953332304954529,10000.0
anchor_symbolic,5000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b5000_s23,40.23802277818322,iid_restricted,0.87925,0.6362562868946318,0.4345721900463104,0.8580494523048401,4000,,,,
anchor_symbolic,5000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b5000_s23,40.23802277818322,ood_high_high,0.7195,0.368469006673747,1.034228801727295,0.7347627878189087,4000,,,,
anchor_symbolic,5000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b5000_s23,40.23802277818322,digit_test,0.9198,0.920306559164303,,0.9121738076210022,10000,0.9198,0.920306559164303,0.9121738076210022,10000.0
anchor_posterior,5000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b5000_s23,43.09104542527348,iid_restricted,0.86425,0.6251654804538708,0.47072699666023254,0.8516272306442261,4000,,,,
anchor_posterior,5000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b5000_s23,43.09104542527348,ood_high_high,0.68175,0.35119201257388477,1.1649408340454102,0.7116965651512146,4000,,,,
anchor_posterior,5000,23,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b5000_s23,43.09104542527348,digit_test,0.9086,0.9084534080642008,,0.9057040810585022,10000,0.9086,0.9084534080642008,0.9057040810585022,10000.0
direct_sum,5000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b5000_s37,6.011466832831502,iid_restricted,0.3715,0.273849075323117,1.8635615110397339,0.3906782567501068,4000,,,,
direct_sum,5000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,direct_sum_b5000_s37,6.011466832831502,ood_high_high,0.00925,0.0030964368000033398,8.487709045410156,0.43164417147636414,4000,,,,
symbolic_sum,5000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b5000_s37,5.944157255813479,iid_restricted,0.90775,0.6717345646778713,0.34510529041290283,0.854171872138977,4000,,,,
symbolic_sum,5000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b5000_s37,5.944157255813479,ood_high_high,0.84,0.3981614442778092,0.587544322013855,0.7656164765357971,4000,,,,
symbolic_sum,5000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,symbolic_sum_b5000_s37,5.944157255813479,digit_test,0.9423,0.9413711577620925,,0.9118040204048157,10000,0.9423,0.9413711577620925,0.9118040204048157,10000.0
anchor_symbolic,5000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b5000_s37,41.39109297655523,iid_restricted,0.8855,0.6469705748529604,0.35364750027656555,0.8710213899612427,4000,,,,
anchor_symbolic,5000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b5000_s37,41.39109297655523,ood_high_high,0.7865,0.39505150789862986,0.6579691171646118,0.7834688425064087,4000,,,,
anchor_symbolic,5000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_symbolic_b5000_s37,41.39109297655523,digit_test,0.9288,0.929024491524953,,0.9204456806182861,10000,0.9288,0.929024491524953,0.9204456806182861,10000.0
anchor_posterior,5000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b5000_s37,41.699999573640525,iid_restricted,0.9095,0.6640726544788587,0.2922097444534302,0.8852360844612122,4000,,,,
anchor_posterior,5000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b5000_s37,41.699999573640525,ood_high_high,0.83725,0.4133267852598693,0.526670515537262,0.8077759146690369,4000,,,,
anchor_posterior,5000,37,15,512,0.001,10,0.5,0.03,4000,cuda:0,True,anchor_posterior_b5000_s37,41.699999573640525,digit_test,0.9455,0.9454237082728565,,0.9299579858779907,10000,0.9455,0.9454237082728565,0.9299579858779907,10000.0
